ID,Date,Close_US,Open_US,High_US,Low_US,Volumn_US,Change_US,Open_SP,High_SP,Low_SP,Close_SP,Adj_Close_SP,Volumn_SP,Change_SP
0,1985/11/21,127.56,127.83,128.03,127.48,9.54K,-0.0101,198.990005,201.429993,198.990005,201.41000400000001,201.41000400000001,"150,300,000",0.01216140981553329
1,1985/11/22,126.63,127.53,127.68,126.58,5.86K,-0.0073,201.41000400000001,202.009995,201.050003,201.520004,201.520004,"133,800,000",0.0005461496341561327
2,1985/11/25,126.64,126.91,126.91,126.43,3.98K,0.0001,201.520004,201.520004,200.080002,200.350006,200.350006,"91,710,000",-0.0058058653075453125
3,1985/11/26,126.17,126.94,126.98,125.85,5.35K,-0.0037,200.350006,201.16000400000001,200.110001,200.669998,200.669998,"123,100,000",0.001597164913486376
4,1985/11/27,126.16,126.26,126.55,125.73,4.62K,-0.0001,200.669998,202.649994,200.669998,202.53999299999998,202.53999299999998,"143,700,000",0.009318757256378648
5,1985/11/29,125.18,125.25,125.46,124.93,1.94K,-0.0078,202.53999299999998,203.399994,201.919998,202.169998,202.169998,"84,060,000",-0.001826775021168233
6,1985/12/2,125.58,124.8,125.8,124.69,3.57K,0.0032,202.169998,202.190002,200.199997,200.46000700000002,200.46000700000002,"103,500,000",-0.008458183790455268
7,1985/12/3,126.04,126.29,126.55,125.91,3.80K,0.0037,200.46000700000002,200.979996,200.100006,200.860001,200.860001,"109,700,000",0.001995380554885406
8,1985/12/4,125.44,125.51,125.66,125.32,2.52K,-0.0048,200.860001,204.229996,200.860001,204.229996,204.229996,"153,200,000",0.016777830246052765
9,1985/12/5,125.52,126.09,126.17,125.45,2.58K,0.0006,204.229996,205.860001,203.78999299999998,203.880005,203.880005,"181,000,000",-0.0017137100663704103
10,1985/12/6,126.08,125.83,126.3,125.69,1.67K,0.0045,203.880005,203.880005,202.449997,202.990005,202.990005,"125,500,000",-0.0043653128221181605
11,1985/12/9,126.52,126.3,126.77,126.21,1.39K,0.0035,202.990005,204.649994,202.979996,204.25,204.25,"144,000,000",0.006207177540588777
12,1985/12/10,127.03,126.89,127.22,126.78,1.66K,0.004,204.25,205.16000400000001,203.679993,204.389999,204.389999,"156,500,000",0.0006854296205629811
13,1985/12/11,127.09,127.7,128.18,126.95,3.33K,0.0005,204.389999,206.679993,204.169998,206.309998,206.309998,"178,500,000",0.009393801112548655
14,1985/12/12,126.58,126.55,126.75,126.08,1.95K,-0.004,206.309998,207.649994,205.830002,206.729996,206.729996,"170,500,000",0.0020357617375382484
15,1985/12/13,126.75,126.28,126.75,126.11,1.30K,0.0013,206.729996,210.309998,206.729996,209.940002,209.940002,"177,900,000",0.015527528961012473
16,1985/12/16,126.08,126.71,126.83,125.91,1.40K,-0.0053,209.940002,213.080002,209.91000400000001,212.020004,212.020004,"176,000,000",0.009907602077664111
17,1985/12/17,126.23,126.05,126.27,125.64,1.68K,0.0012,212.020004,212.44999700000002,210.580002,210.649994,210.649994,"155,200,000",-0.006461701604344879
18,1985/12/18,127.13,126.63,127.2,126.6,1.27K,0.0071,210.649994,211.229996,209.240005,209.809998,209.809998,"137,900,000",-0.003987638376101664
19,1985/12/19,126.62,126.95,127.05,126.45,0.35K,-0.004,209.809998,210.13000499999998,209.25,210.020004,210.020004,"130,200,000",0.0010009341880837957
